1 11.9948
2 23.9893
3 35.9807
4 47.9759
5 59.9659
6 71.9631
7 83.9566
8 95.9438
9 107.941
10 119.922
20 239.846
30 359.726
40 479.603
50 599.444
60 719.302
70 839.078
80 958.523
90 1078.19
100 1197.92
110 1317.58
120 1434.06
130 1548.46
140 1675.31
150 1790.87
159 1898.49
160 1765.9
